Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4KdHmcUVArJeN7XPjp6Czx,"One Mo'Gin","Voodoo","D'Angelo",2000-01-01,373026,55,false,,2025-12-06T05:00:06Z,"neo soul","Virgin Records",0.857,0.16,1,-12.933,1,0.352,0.292,0.0561,0.118,0.591,64.027,4
spotify:track:0AYB1ZSGJkWcRZ4RvLphG8,"Got 'Til It's Gone","The Velvet Rope (Deluxe Edition)","Janet Jackson;Q-Tip;Joni Mitchell",2022-10-07,241760,39,true,,2025-12-06T05:00:06Z,"new jack swing,east coast hip hop,folk,folk rock,singer-songwriter","Virgin Catalog",0.752,0.364,7,-10.375,1,0.277,0.0177,0.000306,0.278,0.534,89.842,4
spotify:track:7rt0kEDWRg3pgTZJKuszoE,"Brown Sugar","Brown Sugar","D'Angelo",1995-07-03,262893,68,true,,2025-12-06T05:00:06Z,"neo soul","Virgin Records",0.717,0.486,9,-8.342,1,0.169,0.529,0.0318,0.102,0.579,83.077,4
spotify:track:29rQJydAlO0uMyWvRIZxQg,"That's The Way Love Goes","Janet","Janet Jackson",1993-05-18,265106,68,false,,2025-12-06T05:00:06Z,"new jack swing","Virgin Records",0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,4
spotify:track:4pdLZsxq0y5oJDb6Cxlokw,"You Got Me","Things Fall Apart","The Roots;Tariq Trotter;Erykah Badu;Eve",1999-02-23,259306,68,true,,2025-12-06T05:00:06Z,"east coast hip hop,jazz rap,hip hop,neo soul,r&b","Geffen",0.729,0.442,11,-8.108,0,0.285,0.151,0,0.189,0.757,81.029,4
spotify:track:1DNkxLaGqAIU43kHQkunoE,"When We Get By","Brown Sugar","D'Angelo",1995-07-03,344893,60,false,,2025-12-06T05:00:06Z,"neo soul","Virgin Records",0.763,0.407,11,-11.514,1,0.0342,0.103,0.419,0.0532,0.704,108.891,4
spotify:track:6l4TNbfPtNAOOlGIfceSaO,"Ascension (Don't Ever Wonder) - Remastered 2021","Maxwell's Urban Hang Suite","Maxwell",1996-04-02,345975,67,false,,2025-12-06T05:00:06Z,"neo soul,quiet storm,r&b","Columbia",0.762,0.459,0,-10.307,1,0.0379,0.111,0.0219,0.147,0.749,96.069,4
spotify:track:7AjfklMN4WpQYz5FkT4E66,"Lady","Brown Sugar","D'Angelo",1995-07-03,346266,69,false,,2025-12-06T05:00:06Z,"neo soul","Virgin Records",0.815,0.365,8,-11.835,0,0.0875,0.14,0.0258,0.121,0.721,84.9,4
spotify:track:5Ru9OjtEw5htfnVKpYsIcv,"UMI Says","Black On Both Sides","Mos Def",1999-10-12,305280,55,true,,2025-12-06T05:00:06Z,"east coast hip hop,old school hip hop,hip hop","Rawkus Entertainment",0.72,0.67,2,-10.224,1,0.132,0.305,0,0.0928,0.566,121.342,4
spotify:track:4omO3Xwm4REEK5HGT6e6yY,"So Far to Go","The Shining","J Dilla;Common;D'Angelo",2006-08-21,336813,54,true,,2025-12-06T05:00:06Z,"alternative hip hop,jazz rap,hip hop,neo soul","BBE Music",0.619,0.561,5,-5.351,0,0.0494,0.0087,0.0000674,0.304,0.285,90.36,4
