Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:512iuZfygeaybuoakIeXiN,"Five","Five","Spring Bingo",2025-08-22,155769,65,false,,2025-12-12T04:00:19Z,"lo-fi","Spring Bingo",0.567,0.0626,9,-21.385,0,0.0435,0.84,0.94,0.357,0.0929,208.013,4
spotify:track:3L6REEaOHHguItfa4RgYfx,"Evenings","Evenings","Breezonic",2025-10-19,150857,59,false,,2025-12-12T04:00:19Z,"lo-fi,lo-fi beats","Chill Caterpillar",0.596,0.141,0,-17.233,1,0.0294,0.65,0.85,0.113,0.285,104.002,4
spotify:track:7jcEaXD19od05Y4aqgffgW,"counting the days until we meet again","counting the days until we meet again","sad notes",2025-09-26,158125,66,false,,2025-12-12T04:00:19Z,"lo-fi","sad notes",0.463,0.0862,4,-27.005,1,0.0319,0.941,0.865,0.0859,0.058,113.938,4
spotify:track:3HivCVJPa249LI1anA9h5V,"midnight train ride","midnight train ride","lazyland",2025-11-14,147291,56,false,,2025-12-12T04:00:19Z,"","lazyland",0.412,0.137,10,-18.466,0,0.0405,0.731,0.935,0.111,0.115,110.465,4
spotify:track:11j0qQhHzDxOiItPenCc7e,"foam","foam","new vibe",2025-09-14,138305,66,false,,2025-12-12T04:00:19Z,"lo-fi","Chill Caterpillar",0.71,0.174,6,-22.36,1,0.0459,0.94,0.81,0.115,0.172,118.01,4
spotify:track:3DnFuL77hB7zIe1PTviSCi,"Iris","Iris","nate2timez",2025-10-31,134117,58,false,,2025-12-12T04:00:19Z,"dark ambient,lo-fi","Score a Score",0.47,0.151,0,-21.719,1,0.0368,0.93,0.959,0.0923,0.054,136.056,3
spotify:track:3CPfZ20IO32YwJU2rKoiq1,"potions","potions","heirloom",2025-10-05,114190,58,false,,2025-12-12T04:00:19Z,"lo-fi beats,lo-fi","Chill Caterpillar",0.575,0.141,5,-20.343,0,0.0371,0.622,0.805,0.125,0.366,140.075,3
spotify:track:2qPns3m7FxOgrFBPxLT1PG,"Hopeful","Hopeful","another night",2025-08-24,152191,58,false,,2025-12-12T04:00:19Z,"","Chill Caterpillar",0.671,0.217,10,-17.389,1,0.0581,0.788,0.907,0.0789,0.0785,94.036,4
spotify:track:6vF4LLcHVYeWAKNV7JT7VV,"Escape","Escape","Soulflu",2025-11-28,150857,52,false,,2025-12-12T04:00:19Z,"lo-fi","Overtone Studios",0.475,0.119,10,-18.996,1,0.03,0.913,0.956,0.107,0.0372,69.912,4
spotify:track:6tS0h6uKOg0Abvw3LJ0XBg,"Pillow Light","Pillow Light","Unmade Bed",2025-12-03,127846,41,false,,2025-12-12T04:00:19Z,"","Golden Hour",0.718,0.112,6,-14.67,1,0.0379,0.927,0.945,0.256,0.184,130.066,4
